Constituency,ConstituencyKey,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
SATNA,9,GANESH SINGH,BHARATIYA JANATA PARTY,DABBU SIDDHARTH SUKHLAL KUSHWAHA,INDIAN NATIONAL CONGRESS,84949,Result Declared
SHAHDOL,12,SMT. HIMADRI SINGH,BHARATIYA JANATA PARTY,PHUNDE LAL SINGH MARKO,INDIAN NATIONAL CONGRESS,397340,Result Declared
SHIMLA,4,SURESH KUMAR KASHYAP,BHARATIYA JANATA PARTY,VINOD SULTANPURI,INDIAN NATIONAL CONGRESS,91451,Result Declared
SIDHI,11,DR. RAJESH MISHRA,BHARATIYA JANATA PARTY,KAMLESHWAR INDRAJIT KUMAR,INDIAN NATIONAL CONGRESS,206416,Result Declared
SIKAR,5,AMRARAM,COMMUNIST PARTY OF INDIA (MARXIST),SUMEDHANAND SARASWATI,BHARATIYA JANATA PARTY,72896,Result Declared
SIRSA,3,SELJA,INDIAN NATIONAL CONGRESS,ASHOK TANWAR,BHARATIYA JANATA PARTY,268497,Result Declared
SIVAGANGA,31,KARTI P CHIDAMBARAM,INDIAN NATIONAL CONGRESS,XAVIERDASS A,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,205664,Result Declared
SONIPAT,6,SATPAL BRAHAMCHARI,INDIAN NATIONAL CONGRESS,MOHAN LAL BADOLI,BHARATIYA JANATA PARTY,21816,Result Declared
SRINAGAR,2,AGA SYED RUHULLAH MEHDI,JAMMU & KASHMIR NATIONAL CONFERENCE,WAHEED UR REHMAN PARA,JAMMU & KASHMIR PEOPLES DEMOCRATIC PARTY,188416,Result Declared
SRIPERUMBUDUR,5,T R BAALU,DRAVIDA MUNNETRA KAZHAGAM,G PREMKUMAR,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,487029,Result Declared
SURGUJA,1,CHINTAMANI MAHARAJ,BHARATIYA JANATA PARTY,SHASHI SINGH KORAM,INDIAN NATIONAL CONGRESS,64822,Result Declared
SABARKANTHA,5,SHOBHANABEN MAHENDRASINH BARAIYA,BHARATIYA JANATA PARTY,CHAUDHARI TUSHAR AMARSINH,INDIAN NATIONAL CONGRESS,155682,Result Declared
SAHARANPUR,1,IMRAN MASOOD,INDIAN NATIONAL CONGRESS,RAGHAV LAKHANPAL,BHARATIYA JANATA PARTY,64542,Result Declared
SALEMPUR,71,RAMASHANKAR RAJBHAR,SAMAJWADI PARTY,RAVINDAR KUSHAWAHA,BHARATIYA JANATA PARTY,3573,Result Declared
SAMASTIPUR,23,SHAMBHAVI,LOK JANSHAKTI PARTY(RAM VILAS),SUNNY HAZARI,INDIAN NATIONAL CONGRESS,187251,Result Declared
SAMBALPUR,3,DHARMENDRA PRADHAN,BHARATIYA JANATA PARTY,PRANAB PRAKASH DAS,BIJU JANATA DAL,119836,Result Declared
SAMBHAL,8,ZIA UR REHMAN,SAMAJWADI PARTY,PARMESHWAR LAL SAINI,BHARATIYA JANATA PARTY,121494,Result Declared
SANGLI,44,VISHAL (DADA) PRAKASHBAPU PATIL,INDEPENDENT,SANJAY (KAKA) PATIL,BHARATIYA JANATA PARTY,100053,Result Declared
SANGRUR,12,GURMEET SINGH MEET HAYER,AAM AADMI PARTY,SUKHPAL SINGH KHAIRA,INDIAN NATIONAL CONGRESS,172560,Result Declared
SANT KABIR NAGAR,62,LAXMIKANT PAPPU NISHAD,SAMAJWADI PARTY,PRAVIN KUMAR NISHAD,BHARATIYA JANATA PARTY,92170,Result Declared
SARAN,20,RAJIV PRATAP RUDY,BHARATIYA JANATA PARTY,ROHINI ACHARYA,RASHTRIYA JANATA DAL,13661,Result Declared
SASARAM,34,MANOJ KUMAR,INDIAN NATIONAL CONGRESS,SHIVESH KUMAR,BHARATIYA JANATA PARTY,19157,Result Declared
SATARA,45,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,BHARATIYA JANATA PARTY,SHASHIKANT JAYVANTRAO SHINDE,NATIONALIST CONGRESS PARTY – SHARADCHANDRA PAWAR,32771,Result Declared
SECUNDERABAD,8,G. KISHAN REDDY,BHARATIYA JANATA PARTY,DANAM NAGENDER,INDIAN NATIONAL CONGRESS,49944,Result Declared
SHAHJAHANPUR,27,ARUN KUMAR SAGAR,BHARATIYA JANATA PARTY,JYOTSNA GOND,SAMAJWADI PARTY,55379,Result Declared
SHEOHAR,4,LOVELY ANAND,JANATA DAL (UNITED),RITU JAISWAL,RASHTRIYA JANATA DAL,29143,Result Declared
SHILLONG,1,DR. RICKY ANDREW J. SYNGKON,VOICE OF THE PEOPLE PARTY,VINCENT H. PALA,INDIAN NATIONAL CONGRESS,371910,Result Declared
SHIMOGA,14,B.Y.RAGHAVENDRA,BHARATIYA JANATA PARTY,GEETHA SHIVARAJKUMAR,INDIAN NATIONAL CONGRESS,243715,Result Declared
SHIRDI,38,BHAUSAHEB RAJARAM WAKCHAURE,SHIV SENA (UDDHAV BALASAHEB THACKREY),LOKHANDE SADASHIV KISAN,SHIV SENA,50529,Result Declared
SHIRUR,36,DR. AMOL RAMSING KOLHE,NATIONALIST CONGRESS PARTY – SHARADCHANDRA PAWAR,ADHALRAO SHIVAJI DATTATREY,NATIONALIST CONGRESS PARTY,140951,Result Declared
SHRAWASTI,58,RAM SHIROMANI VERMA,SAMAJWADI PARTY,SAKET MISRA,BHARATIYA JANATA PARTY,76673,Result Declared
SIKKIM,1,INDRA HANG SUBBA,SIKKIM KRANTIKARI MORCHA,BHARAT BASNETT,CITIZEN ACTION PARTY-SIKKIM,80830,Result Declared
SILCHAR,8,PARIMAL SUKLABAIDYA,BHARATIYA JANATA PARTY,SURYA KANTA SARKAR,INDIAN NATIONAL CONGRESS,264311,Result Declared
SINGHBHUM,10,JOBA MAJHI,JHARKHAND MUKTI MORCHA,GEETA KORA,BHARATIYA JANATA PARTY,168402,Result Declared
SITAMARHI,5,DEVESH CHANDRA THAKUR,JANATA DAL (UNITED),ARJUN RAY,RASHTRIYA JANATA DAL,51356,Result Declared
SITAPUR,30,RAKESH RATHOR,INDIAN NATIONAL CONGRESS,RAJESH VERMA,BHARATIYA JANATA PARTY,89641,Result Declared
SIWAN,18,VIJAYLAKSHMI DEVI,JANATA DAL (UNITED),HENA SHAHAB,INDEPENDENT,92857,Result Declared
SOLAPUR,42,PRANITI SUSHILKUMAR SHINDE,INDIAN NATIONAL CONGRESS,RAM VITTHAL SATPUTE,BHARATIYA JANATA PARTY,74197,Result Declared
SONITPUR,11,RANJIT DUTTA,BHARATIYA JANATA PARTY,PREMLAL GANJU,INDIAN NATIONAL CONGRESS,361408,Result Declared
SOUTH DELHI,7,RAMVIR SINGH BIDHURI,BHARATIYA JANATA PARTY,SAHI RAM,AAM AADMI PARTY,124333,Result Declared
SOUTH GOA,2,CAPTAIN VIRIATO FERNANDES,INDIAN NATIONAL CONGRESS,PALLAVI SHRINIVAS DEMPO,BHARATIYA JANATA PARTY,13535,Result Declared
SRERAMPUR,27,KALYAN BANERJEE,ALL INDIA TRINAMOOL CONGRESS,KABIR SHANKAR BOSE,BHARATIYA JANATA PARTY,174830,Result Declared
SRIKAKULAM,2,KINJARAPU RAMMOHAN NAIDU,TELUGU DESAM,TILAK PERADA,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,327901,Result Declared
SULTANPUR,38,RAMBHUAL NISHAD,SAMAJWADI PARTY,MANEKA SANJAY GANDHI,BHARATIYA JANATA PARTY,43174,Result Declared
SUNDARGARH,2,JUAL ORAM,BHARATIYA JANATA PARTY,DILIP KUMAR TIRKEY,BIJU JANATA DAL,138808,Result Declared
SUPAUL,8,DILESHWAR KAMAIT,JANATA DAL (UNITED),CHANDRAHAS CHAUPAL,RASHTRIYA JANATA DAL,169803,Result Declared
SURAT,24,MUKESHKUMAR CHANDRAKAANT DALAL,BHARATIYA JANATA PARTY,,,0,Uncontested
SURENDRANAGAR,9,CHANDUBHAI CHHAGANBHAI SHIHORA,BHARATIYA JANATA PARTY,RUTVIKBHAI LAVJIBHAI MAKWANA,INDIAN NATIONAL CONGRESS,261617,Result Declared
TENKASI,37,DR RANI SRI KUMAR,DRAVIDA MUNNETRA KAZHAGAM,DR K KRISHNASAMY,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,196199,Result Declared
THANJAVUR,30,MURASOLI S,DRAVIDA MUNNETRA KAZHAGAM,SIVANESAN P,DESIYA MURPOKKU DRAVIDA KAZHAGAM,319583,Result Declared
